project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
apstud,2012 Sprint 02,2012-01-01 18:54:32.727272728+00:00,2012-01-27 00:00:00+00:00,90.0,232.0,0.3879310344827586,25,162.0,55.555555555555564,1,0,['mxia' 'cwilliams' 'klindsey'],,0.0,0.0,0.0,3,0.0,0.0,1,1.0,1.0,30.0,1.0026666666666666,-3.198580693622256,N,D-
apstud,2012 Sprint 03,2012-01-27 00:00:00+00:00,2012-02-10 00:00:00+00:00,228.0,371.0,0.6145552560646901,14,162.0,140.7407407407407,2,0,['sgibly' 'mxia' 'klindsey' 'cwilliams'],['mxia' 'cwilliams' 'klindsey'],3.0,1.0,0.0,4,0.0,0.07142857142857142,2,1.3333333333333333,0.75,57.0,5.670252873563218,-1.4198468528909858,D+,N
apstud,2012 Sprint 04,2012-02-10 00:00:00+00:00,2012-02-24 00:00:00+00:00,168.0,170.0,0.9882352941176472,14,162.0,103.70370370370371,2,0,['cwilliams' 'klindsey' 'ingo' 'mxia' 'sgibly'],['sgibly' 'mxia' 'klindsey' 'cwilliams'],4.0,1.0,0.0,5,0.0,0.05555555555555555,3,1.3333333333333333,0.75,33.6,1.6250114942528737,1.5131023466730276,N,N
apstud,2012 Sprint 05,2012-02-24 00:00:00+00:00,2012-03-09 00:00:00+00:00,127.0,163.0,0.7791411042944786,14,162.0,78.39506172839506,1,1,['cwilliams' 'klindsey' 'sgibly' 'mxia'],['cwilliams' 'klindsey' 'ingo' 'mxia' 'sgibly'],5.0,0.0,1.0,4,0.05555555555555555,0.0,4,1.3333333333333333,0.75,31.75,1.3051954022988506,-0.1280413437170865,N,N
apstud,2012 Sprint 06,2012-03-09 00:00:00+00:00,2012-03-23 00:00:00+00:00,121.0,173.0,0.6994219653179191,14,162.0,74.69135802469134,1,0,['cwilliams' 'klindsey' 'sgibly' 'ingo' 'mxia'],['cwilliams' 'klindsey' 'sgibly' 'mxia'],4.0,1.0,0.0,5,0.0,0.05555555555555555,5,1.3333333333333333,0.75,24.2,0.0,-0.7537429093385744,N,N
apstud,2012 Sprint 07,2012-03-23 00:00:00+00:00,2012-04-06 00:00:00+00:00,111.0,170.0,0.6529411764705882,14,162.0,68.51851851851852,1,0,['mxia' 'klindsey' 'cwilliams' 'sgibly'],['cwilliams' 'klindsey' 'sgibly' 'ingo' 'mxia'],5.0,0.0,1.0,4,0.05555555555555555,0.0,6,1.3333333333333333,0.75,27.75,0.6137011494252874,-1.1185624837402532,N,N
apstud,2012 Sprint 08,2012-04-06 00:00:00+00:00,2012-04-20 00:00:00+00:00,179.0,216.0,0.8287037037037037,14,162.0,110.49382716049381,2,1,['mxia' 'cwilliams' 'klindsey' 'sgibly'],['mxia' 'klindsey' 'cwilliams' 'sgibly'],4.0,0.0,0.0,4,0.0,0.0,7,1.0,1.0,44.75,3.5525517241379307,0.2609668222609901,D+,N
apstud,2012 Sprint 10,2012-04-20 00:00:00+00:00,2012-05-21 00:00:00+00:00,326.0,648.0,0.5030864197530864,31,162.0,201.23456790123456,2,0,['ingo' 'nle' 'klindsey' 'fzadrozny' 'cwilliams' 'sgibly' 'mxia'],['mxia' 'cwilliams' 'klindsey' 'sgibly' 'ingo'],5.0,2.0,0.0,7,0.0,0.08333333333333333,8,1.6666666666666667,0.6,46.57142857142857,3.8674285714285705,-2.2947462345649883,D+,N
apstud,2012 Sprint 12,2012-06-04 00:00:00+00:00,2012-06-15 00:00:00+00:00,149.0,177.0,0.8418079096045198,11,162.0,91.97530864197529,1,1,['sgibly' 'ingo' 'mxia' 'cwilliams' 'fzadrozny' 'nle'],['ingo' 'cwilliams' 'mxia' 'nle' 'sgibly'],5.0,1.0,0.0,6,0.0,0.045454545454545456,9,1.3333333333333333,0.75,24.83333333333333,0.10948659003831346,0.3638194402600113,N,N
apstud,2012 Sprint 13,2012-06-15 00:00:00+00:00,2012-06-29 00:00:00+00:00,175.0,222.0,0.7882882882882883,14,162.0,108.0246913580247,2,1,['sgibly' 'nle' 'cheadley' 'cwilliams' 'fzadrozny' 'ingo' 'mxia'],['sgibly' 'ingo' 'mxia' 'cwilliams' 'fzadrozny' 'nle'],6.0,1.0,0.0,7,0.0,0.038461538461538464,10,1.3333333333333333,0.75,25.0,0.13829885057471275,-0.05624669792145786,N,N
