project,sprint.name,sprint.startDate,sprint.endDate,key,sprint.length
apstud,2012 Sprint 02,2012-01-01 18:54:32.727272728+00:00,2012-01-27 00:00:00+00:00,32,25 days 05:05:27.272727272
apstud,2012 Sprint 03,2012-01-27 00:00:00+00:00,2012-02-10 00:00:00+00:00,23,14 days 00:00:00.000000000
apstud,2012 Sprint 04,2012-02-10 00:00:00+00:00,2012-02-24 00:00:00+00:00,18,14 days 00:00:00.000000000
apstud,2012 Sprint 05,2012-02-24 00:00:00+00:00,2012-03-09 00:00:00+00:00,20,14 days 00:00:00.000000000
apstud,2012 Sprint 06,2012-03-09 00:00:00+00:00,2012-03-23 00:00:00+00:00,24,14 days 00:00:00.000000000
apstud,2012 Sprint 07,2012-03-23 00:00:00+00:00,2012-04-06 00:00:00+00:00,21,14 days 00:00:00.000000000
apstud,2012 Sprint 08,2012-04-06 00:00:00+00:00,2012-04-20 00:00:00+00:00,25,14 days 00:00:00.000000000
apstud,2012 Sprint 10,2012-04-20 00:00:00+00:00,2012-05-21 00:00:00+00:00,34,31 days 00:00:00.000000000
apstud,2012 Sprint 09,2012-05-21 00:00:00+00:00,2012-05-31 00:00:00+00:00,35,10 days 00:00:00.000000000
apstud,2012 Sprint 11,2012-05-31 00:00:00+00:00,2012-06-04 00:00:00+00:00,18,4 days 00:00:00.000000000
apstud,2012 Sprint 12,2012-06-04 00:00:00+00:00,2012-06-15 00:00:00+00:00,23,11 days 00:00:00.000000000
apstud,2012 Sprint 13,2012-06-15 00:00:00+00:00,2012-06-29 00:00:00+00:00,31,14 days 00:00:00.000000000
apstud,2012 Sprint 14,2012-06-29 00:00:00+00:00,2012-07-27 00:00:00+00:00,20,28 days 00:00:00.000000000
apstud,2012 Sprint 15,2012-07-27 00:00:00+00:00,2012-07-30 00:00:00+00:00,22,3 days 00:00:00.000000000
apstud,2012 Sprint 16,2012-07-30 00:00:00+00:00,2012-08-13 00:00:00+00:00,17,14 days 00:00:00.000000000
apstud,2012 Sprint 17,2012-08-13 00:00:00+00:00,2012-08-27 00:00:00+00:00,24,14 days 00:00:00.000000000
apstud,2012 Sprint 18,2012-08-27 00:00:00+00:00,2012-09-10 00:00:00+00:00,15,14 days 00:00:00.000000000
apstud,2012 Sprint 19,2012-09-10 00:00:00+00:00,2012-09-24 00:00:00+00:00,15,14 days 00:00:00.000000000
apstud,2012 Sprint 20,2012-09-24 00:00:00+00:00,2012-10-08 00:00:00+00:00,6,14 days 00:00:00.000000000
apstud,2012 Sprint 21,2012-10-08 00:00:00+00:00,2012-10-22 00:00:00+00:00,5,14 days 00:00:00.000000000
apstud,2012 Sprint 22,2012-10-22 00:00:00+00:00,2012-11-05 00:00:00+00:00,3,14 days 00:00:00.000000000
apstud,2012 Sprint 23,2012-11-05 00:00:00+00:00,2012-11-19 00:00:00+00:00,3,14 days 00:00:00.000000000
apstud,2012 Sprint 24,2012-11-19 00:00:00+00:00,2012-12-03 00:00:00+00:00,1,14 days 00:00:00.000000000
apstud,2012 Sprint 25,2012-12-03 00:00:00+00:00,2012-12-17 00:00:00+00:00,2,14 days 00:00:00.000000000
apstud,2012 Sprint 26,2012-12-17 00:00:00+00:00,2012-12-31 00:00:00+00:00,1,14 days 00:00:00.000000000
apstud,2013 Sprint 01,2012-12-31 00:00:00+00:00,2013-01-14 00:00:00+00:00,3,14 days 00:00:00.000000000
apstud,2013 Sprint 02,2013-01-14 00:00:00+00:00,2013-01-28 00:00:00+00:00,4,14 days 00:00:00.000000000
apstud,2013 Sprint 13,2013-01-28 00:00:00+00:00,2013-07-01 00:00:00+00:00,1,154 days 00:00:00.000000000
