project,sprint.name,issues,velocity,work_capacity,sprint.startDate,sprint.endDate,storypoints,sprint_length,focus_factor,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sprint.key,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
apstud,2012 Sprint 03,23,228.0,371.0,2012-01-27 00:00:00+00:00,2012-02-10 00:00:00+00:00,233.0,14.0,0.6145552560646901,['sgibly' 'mxia' 'klindsey' 'cwilliams'],['mxia' 'cwilliams' 'klindsey'],3.0,1.0,0.0,4,0.0,0.07142857142857142,1.0,1.3333333333333333,0.75,57.0,apstud_2012 Sprint 03,6.850036363636363,-1.4958733376400604,D+,N
apstud,2012 Sprint 04,18,168.0,170.0,2012-02-10 00:00:00+00:00,2012-02-24 00:00:00+00:00,201.0,14.0,0.9882352941176472,['cwilliams' 'klindsey' 'ingo' 'mxia' 'sgibly'],['sgibly' 'mxia' 'klindsey' 'cwilliams'],4.0,1.0,0.0,5,0.0,0.05555555555555555,2.0,1.3333333333333333,0.75,33.6,apstud_2012 Sprint 04,2.050909090909091,1.493023432182791,N,N
apstud,2012 Sprint 05,19,127.0,163.0,2012-02-24 00:00:00+00:00,2012-03-09 00:00:00+00:00,148.0,14.0,0.7791411042944786,['cwilliams' 'klindsey' 'sgibly' 'mxia'],['cwilliams' 'klindsey' 'ingo' 'mxia' 'sgibly'],5.0,0.0,1.0,4,0.05555555555555555,0.0,3.0,1.3333333333333333,0.75,31.75,apstud_2012 Sprint 05,1.6714909090909087,-0.17942594939917803,N,N
apstud,2012 Sprint 06,24,121.0,173.0,2012-03-09 00:00:00+00:00,2012-03-23 00:00:00+00:00,163.0,14.0,0.6994219653179191,['cwilliams' 'klindsey' 'sgibly' 'ingo' 'mxia'],['cwilliams' 'klindsey' 'sgibly' 'mxia'],4.0,1.0,0.0,5,0.0,0.05555555555555555,4.0,1.3333333333333333,0.75,24.2,apstud_2012 Sprint 06,0.123054545454545,-0.8170631061004149,N,N
apstud,2012 Sprint 07,21,111.0,170.0,2012-03-23 00:00:00+00:00,2012-04-06 00:00:00+00:00,173.0,14.0,0.6529411764705882,['mxia' 'klindsey' 'cwilliams' 'sgibly'],['cwilliams' 'klindsey' 'sgibly' 'ingo' 'mxia'],5.0,0.0,1.0,4,0.05555555555555555,0.0,5.0,1.3333333333333333,0.75,27.75,apstud_2012 Sprint 07,0.8511272727272723,-1.18884180845892,N,N
apstud,2012 Sprint 08,24,179.0,216.0,2012-04-06 00:00:00+00:00,2012-04-20 00:00:00+00:00,213.0,14.0,0.8287037037037037,['mxia' 'cwilliams' 'klindsey' 'sgibly'],['mxia' 'klindsey' 'cwilliams' 'sgibly'],4.0,0.0,0.0,4,0.0,0.0,6.0,1.0,1.0,44.75,apstud_2012 Sprint 08,4.337672727272726,0.21700275482093676,D+,N
apstud,2012 Sprint 10,33,326.0,648.0,2012-04-20 00:00:00+00:00,2012-05-21 00:00:00+00:00,352.0,31.0,0.5030864197530864,['ingo' 'nle' 'klindsey' 'fzadrozny' 'cwilliams' 'sgibly' 'mxia'],['mxia' 'cwilliams' 'klindsey' 'sgibly' 'ingo'],5.0,2.0,0.0,7,0.0,0.08333333333333333,7.0,1.6666666666666667,0.6,46.57142857142857,apstud_2012 Sprint 10,4.711231168831168,-2.3874618916437087,D+,N
apstud,2012 Sprint 12,22,149.0,177.0,2012-06-04 00:00:00+00:00,2012-06-15 00:00:00+00:00,188.0,11.0,0.8418079096045198,['sgibly' 'ingo' 'mxia' 'cwilliams' 'fzadrozny' 'nle'],['ingo' 'cwilliams' 'mxia' 'nle' 'sgibly'],5.0,1.0,0.0,6,0.0,0.045454545454545456,8.0,1.3333333333333333,0.75,24.83333333333333,apstud_2012 Sprint 12,0.25294545454545325,0.3218173413643368,N,N
apstud,2012 Sprint 13,31,175.0,222.0,2012-06-15 00:00:00+00:00,2012-06-29 00:00:00+00:00,232.0,14.0,0.7882882882882883,['sgibly' 'nle' 'cheadley' 'cwilliams' 'fzadrozny' 'ingo' 'mxia'],['sgibly' 'ingo' 'mxia' 'cwilliams' 'fzadrozny' 'nle'],6.0,1.0,0.0,7,0.0,0.038461538461538464,9.0,1.3333333333333333,0.75,25.0,apstud_2012 Sprint 13,0.2871272727272724,-0.10626178244360006,N,N
apstud,2012 Sprint 14,20,115.0,276.0,2012-06-29 00:00:00+00:00,2012-07-27 00:00:00+00:00,229.0,28.0,0.4166666666666667,['fzadrozny' 'mxia' 'sgibly' 'cwilliams' 'nle'],['sgibly' 'nle' 'cheadley' 'cwilliams' 'fzadrozny' 'ingo' 'mxia'],7.0,0.0,2.0,5,0.08333333333333333,0.0,10.0,1.6666666666666667,0.6,23.0,apstud_2012 Sprint 14,-0.12305454545454574,-3.0786942148760312,N,D-
